# Date,City,State,Country,Event Type,TO,Best of,Event Locator Link,Notes,Total Players,Lat,Lon
9/15/2018,Philadelphia,PA,USA,Regional,Vince Krekeler,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000009/,,183,39.95223,-75.16218
10/6/2018,Memphis,TN,USA,Regional,Jimmy Ballard,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000007/,,111,35.14977,-90.04926
10/27/2018,Portland,OR,USA,Regional,David Nelson,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000004/,,,45.5118,-122.67563
11/24/2018,Roanoke,VA,USA,Regional,Marthe Honts,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-11-000003/,,,37.27152,-79.94057
10/15/2018,Anaheim,CA,USA,Regional,Patricia McCann,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001520/,,,33.83286,-117.91524
01/19/19,Dallas,TX,USA,Regional,,,,,,32.77816,-96.7954
02/22/19,Collinsville,IL,USA,Regional,,,,,,38.6698,-89.98597
03/08/19,Brampton,Ontario,CAN,Regional,,,,,,43.68431,-79.75872
03/15/19,Greensboro,NC,USA,Regional,,,,,,36.06908,-79.79503
04/19/19,Daytona Beach,FL,USA,Regional,,,,,,29.20358,-81.0394
05/03/19,Hartford,CT,USA,Regional,,,,,,41.76376,-72.67394
05/18/19,Santa Clara,CA,USA,Regional,,,,,,37.35579,-121.95509
05/31/19,Madison,WI,USA,Regional,,,,,,43.07313,-89.38644
