# Date,City,State,Event Type,TO,Best of,Event Locator Link,Notes,Total Players,Lat,Lon,
10/6/2018,Fremont,CA,USA,MSS,Cassandra Fordyce,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000128/,,29,37.55091,-121.98217
10/6/2018,Lakewood,WA,USA,MSS,Terry Kamm,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000715/,,12,47.16195,-122.51493
10/6/2018,Dublin,OH,USA,MSS,Jim Olivola,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001134/,,11,40.10497,-83.13309
10/6/2018,Tijuana,Baja California,MX,MSS,Ricardo Rodriguez,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-11-000065/,,13,32.53508,-117.04097
10/7/2018,Portland,OR,USA,MSS,June Clanton,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000206/,,8,45.5118,-122.67563
10/13/2018,Independence,MO,USA,MSS,Sandy Moldenhauer,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000151/,,15,39.09324,-94.41563
10/13/2018,Fort Wayne,IN,USA,MSS,Michael Woitalla,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000213/,$5 entry,37,41.08026,-85.13831
10/13/2018,Decatur,GA,USA,MSS,Brandon Oramas,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000180/,,15,33.77426,-84.29659
10/13/2018,Lindenhurst,NY,USA,MSS,Robert Mirabile,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001560/,,28,40.68177,-73.36755
10/13/2018,Auburn,WA,USA,MSS,David Nelson,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001167/,includes pizza and a drink,11,47.3074,-122.23041
10/13/2018,Toluca,Estada de Mexico,MEX,MSS,Luis Alberto Valencia Rodriguez,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000914/,,25,19.34077,-99.21089
10/13/2018,Gatineau,Quebec,CAN,MSS,Eric Demers,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000216/,,15,45.4283,-75.71037
10/13/2018,Camarillo,CA,USA,MSS,Miguel Campos,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000165/,,28,34.2234,-119.05072
10/13/2018,Phoenix,AZ,USA,MSS,Patricia McCann,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003223/,,8,33.44826,-112.0758
10/14/2018,Gaithersburg,MD,USA,MSS,Kyle Littleton,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000545/,,27,39.14036,-77.19373
10/14/2018,Fort Wayne,IN,USA,MSS,Ryan Patterson,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000467/,$5 entry,27,41.08026,-85.13831
10/14/2018,Cambridge,MA,USA,MSS,Chuck Morales,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000891/,rescheduled from 10/21/2018.,20,42.3668,-71.10602
10/14/2018,Mississauga,Ontario,CAN,MSS,Martin Jurak,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000401/,,25,43.58691,-79.64535
10/14/2018,Guadalajara,Jalisco,MEX,MSS,Ricardo Miranda,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000983/,,22,20.68758,-103.35104
10/14/2018,Mexico DF,Distrito Federal,MEX,MSS,Ives Rountree,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000177/,,20,19.43195,-99.13315
10/14/2018,Corpus Christi,TX,USA,MSS,Jonathan Turner,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002035/,,12,27.79642,-97.40374
10/20/2018,Seattle,WA,USA,MSS,Lucy Yang,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001657/,,19,47.60358,-122.32945
10/20/2018,Kent,OH,USA,MSS,Patrick Brett,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001834/,,13,41.15092,-81.35822
10/20/2018,Meridian,ID,USA,MSS,Jessica Roest,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002934/,,8,43.61103,-116.39258
10/20/2018,Oakville,Ontario,CAN,MSS,Morpheus Meadows,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002926/,changed from 10/28/2018.,16,43.46644,-79.69001
10/21/2018,Fincastle,VA,USA,MSS,Marthe Honts,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000186/,$5 entry,17,37.4998,-79.87243
10/21/2018,Minneapolis,MN,USA,MSS,Ryan Alperstein,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001044/,,13,44.97902,-93.26494
10/21/2018,Monterrey,Nuevo Leon,MEX,MSS,Israel Morales,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001288/,,11,25.67093,-100.30999
10/21/2018,Vancouver,British Columbia,CAN,MSS,Rushan Shekar,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000919/,,16,49.26039,-123.11336
10/21/2018,Loves Park,IL,USA,MSS,Suzanne Nortridge,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002802/,,22,42.31607,-89.05721
10/21/2018,North Canton,OH,USA,MSS,AJ Schumacher,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002828/,,12,40.87557,-81.40206
10/21/2018,Villahermosa,Tabasco,MEX,MSS,Fernando Silva,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000172/,,,17.99639,-92.93694
10/21/2018,Milwaukie,OR,USA,MSS,Seth Kuepker,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001827/,Cancelled- not enough players,,45.44517,-122.64153
10/21/2018,Oakville,Ontario,CAN,MSS,Brandon Ulian,,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003572/,,18,43.46644,-79.69001
10/27/2018,Oxford,MS,USA,MSS,Joseph Brummett,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000084/,immediately followed by PC.,,34.36403,-89.51894
10/27/2018,Gaithersburg,MD,USA,MSS,Jason Inman,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002639/,,15,39.14036,-77.19373
10/27/2018,San Antonio,TX,USA,MSS,Codie Cobb,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003006/,,10,29.42458,-98.49461
10/27/2018,Xalapa,Veracruz,MEX,MSS,Ruben Alejandro Escobedo Diaz,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001928/,,,19.52734,-96.92273
10/27/2018,Niles,IL,USA,MSS,Joseph Cross,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003275/,,28,42.02621,-87.80077
10/28/2018,Dublin,OH,USA,MSS,Laura Norton,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000170/,,12,40.10497,-83.13309
10/28/2018,Mexico DF,Distrito Federal,MEX,MSS,Isabel Sarmiento,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000153/,,,19.43195,-99.13315
10/28/2018,Montreal,Quebec,CAN,MSS,Melissa Lemieux,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000508/,,12,45.51241,-73.55469
10/28/2018,Sanford,FL,USA,MSS,Jason Rengel,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003078/,,,28.81397,-81.26805
10/28/2018,Fort Collins,CO,USA,MSS,Michael Pule,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002084/,,9,40.58147,-105.07662
